seq,s3,s4,s5,s6,s7,s9,s11,s13,s14,s15,s16,s17,s18,s19a,s19b,s19c,s19d,s20,s23a,s24a,s25a,s26a,s27a,s30a,s30c,s31a,s31c,s32,s33,s34,s35,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,netw,uria,rtdum,bd,mi,old,vr,school,chval,dnotown,dprop
21,1,1,1,30,1,1120,1,5,8,2,4,30,1,NA,NA,NA,NA,1,U,0,14,14,0,2500,0,2500,0,693,134,0,73,1,1,10,2,1,0,27,28,2,360,NA,134,1,0,0,N,0,0,1,51,3.099999905,0,0,0,0,1,14,900.0020142,0,0
23,1,1,1,155,1,1120,0,5,8,1,4,62,0,NA,NA,NA,NA,1,U,0,4,4,0,5208,0,5208,0,1582,215,0,50,1,1,12,2,1,0,30,31,2,360,NA,225,2,0,0,Y,0,0,5,-1,4.300000191,0,0,1,0,0,16,225.532486,0,0
24,1,1,1,100,3,1120,0,5,5,1,2,53,,NA,NA,NA,NA,1,M,4,11,2,0,2638,1019,2638,1019,1395,186,0,16,1,1,12,2,1,0,27,28,1,360,NA,186,2,1,1,N,0,1,2,32,4.300000191,0,0,1,0,0,18,203.6358948,0,0
26,1,1,1,289,1,1120,0,5,5,1,2,116,0,NA,NA,NA,NA,1,M,1,14,26,0,4916,4185,4916,4185,3071,445,0,161,1,1,14,1,1,0,34,36,2,360,NA,445,2,0,0,N,0,0,1,395,10.60000038,0,1,1,1,0,18,285.2852173,0,0
27,1,1,1,58,1,1120,0,5,5,1,2,54,0,NA,NA,NA,NA,1,M,0,8,0.6000000238,0,2383,2138,2383,2138,699,160,0,31,1,1,13,1,1,0,15,18,1,360,NA,160,2,0,0,N,0,0,2,237,3.200000048,0,1,1,0,0,14,203.6793976,0,0
28,1,1,1,130,1,1120,0,5,5,1,2,55,3,NA,NA,NA,NA,1,M,1,5,5,0,2493,2123,2493,2123,1267,156,0,33,1,1,14,1,2,0,27,36,1,360,NA,156,2,1,0,N,0,0,2,77,3.200000048,0,1,1,1,0,17,234.4846344,0,0
29,1,1,1,180,1,1120,0,5,5,1,2,100,1,NA,NA,NA,NA,1,M,2,12,6,0,5250,2667,5667,2667,1873,273,0,251,1,1,10,1,1,0,22,23,2,360,NA,280,2,0,0,N,0,0,2,494,3.200000048,0,0,1,1,0,16,239.1943512,0,0
30,1,1,1,70,1,1120,0,5,8,2,4,35,3,NA,NA,NA,NA,1,M,2,5,0.8999999762,0,2917,0,2917,0,792,160,0,34,1,1,13,1,2,0,27,32,2,360,NA,160,2,0,0,N,0,0,1,358,3.200000048,0,1,1,1,1,14,235.7883759,0,0
31,1,1,1,143,1,1120,0,5,5,1,2,60,3,NA,NA,NA,NA,1,M,2,5,2,0,5000,0,5000,0,1453,178,0,75,1,1,22,2,2,0,29,31,1,360,NA,180,2,0,0,N,0,0,2,449,4.300000191,0,0,1,1,0,16,203.6358948,0,0
32,1,1,1,124,1,1120,0,5,5,1,2,48,0,NA,NA,NA,NA,1,U,0,8,1,0,3055,974,3055,974,1144,155,0,135,1,1,12,2,2,0,28,37,1,360,NA,155,2,0,0,N,0,0,2,-90,3.099999905,0,0,1,0,0,18,187.247879,0,0
34,1,1,1,258,3,1120,0,3,3,2,2,44,,NA,1,NA,NA,3,M,1,10,1,0,1792,1517,2086,1577,2558,280,0,5,1,1,17,2,1,0,53,84,2,360,NA,280,3,1,1,N,0,1,1,32,3.200000048,1,1,1,0,0,16,282.9621887,0,1
36,1,1,1,147,3,1120,0,5,5,1,2,59,,NA,3,NA,NA,1,M,1,7,7,0,4170,0,4945,0,1095,164,0,22,2,0,31,1,6,1,22,37,1,360,NA,164,2,1,1,N,0,0,2,173,3.099999905,0,0,1,1,0,20,271.3592224,0,0
37,1,1,1,123,1,1120,0,5,5,1,2,51,1,NA,NA,NA,NA,1,M,0,9,9,0,3250,998,3250,998,1301,137,0,8,1,1,9,2,3,0,31,39,2,360,NA,140,2,1,0,N,0,0,2,72,5.300000191,0,1,1,0,0,13,220.4946899,0,0
38,1,1,1,105,1,1120,0,5,5,1,1,48,1,NA,NA,NA,NA,1,U,0,4,4,0,2133,1886,2133,1886,1268,144,0,44,1,1,6,2,1,0,32,32,2,360,NA,136,2,0,0,Y,0,0,2,111,10.60000038,0,1,1,0,1,16,263.9198608,0,0
40,1,1,1,264,1,1120,0,5,5,1,2,107,0,NA,NA,NA,NA,1,M,0,2,2,0,5834,1976,5834,3035,2896,293,0,34,1,1,24,2,1,0,33,39,2,360,NA,293,2,1,0,N,0,0,1,102,3.200000048,0,0,1,0,0,16,257.0873718,0,0
41,1,1,1,142,1,1120,0,5,5,1,2,58,1,NA,NA,NA,NA,1,U,0,5,4,0,2407,2427,2407,2427,1492,217,0,19,1,1,17,2,1,0,31,33,2,360,NA,217,2,0,0,N,0,0,2,68,3.900000095,0,1,1,0,0,14,240.6968384,0,0
42,1,1,1,85,1,1120,0,5,5,2,1,100,3,NA,NA,NA,NA,1,U,0,8,8,0,2417,5250,2707,5650,1083,120,0,165,1,1,25,2,1,0,13,28,2,180,NA,135,1,0,0,N,0,0,2,136,3.200000048,0,0,1,0,0,20,418.5294189,0,0
43,1,1,1,99,1,1120,1,4,4,1,2,64,3,NA,NA,NA,NA,1,M,1,14,14,0,2269,2167,2269,2167,1066,110,0,18,1,1,23,1,2,0,22,41,2,360,NA,128,2,1,0,N,0,0,2,29,1.799999952,0,1,1,0,0,15,279.7201233,0,0
44,1,1,1,102,1,1120,0,5,8,2,4,41,0,NA,NA,NA,NA,1,U,0,12,2,0,3417,0,3417,0,959,113,0,16,1,1,15,2,1,0,28,37,1,360,NA,114,1,1,0,N,0,0,2,47,1.799999952,0,1,1,0,0,16,220.2846985,0,0
46,1,1,1,100,1,1120,0,5,8,1,4,56,1,NA,NA,NA,NA,1,U,1,15,14,0,2930,0,4606,0,1159,197,0,108,1,1,17,2,1,0,25,30,2,360,NA,206,2,0,0,N,0,0,2,156,3.200000048,0,0,1,1,1,17,221.8138275,0,0
47,1,1,1,150,1,1120,0,5,5,1,2,67,1,NA,NA,NA,NA,1,M,2,20,3,0,4304,1289,4304,1289,1578,158,0,27,1,1,12,2,1,0,29,31,2,360,NA,158,2,1,0,N,0,0,2,73,3.900000095,0,0,0,1,1,12,211.02771,0,0
48,1,1,1,180,1,1120,0,3,3,1,2,99,0,NA,NA,NA,NA,1,U,0,10,5,0,4002,6872,4002,6872,1741,202,0,27,2,1,1,2,1,0,21,26,1,360,NA,202,2,1,0,N,0,0,2,23,1.799999952,0,1,1,0,0,17,192.1499786,0,0
50,1,1,1,120,1,1120,0,5,5,2,1,55,3,NA,NA,NA,NA,1,U,0,10,10,0,1907,2365,1907,2365,1234,139,0,20,1,1,13,2,1,0,29,36,2,360,NA,139,2,1,0,N,0,0,1,44,4.300000191,0,1,1,0,0,12,219.8178864,0,0
52,1,1,1,175,1,1120,0,5,5,1,2,105,0,NA,NA,NA,NA,1,M,2,10,0.6999999881,0,7388,1375,7388,1375,1754,245,0,48,1,1,33,1,5,0,20,37,1,360,NA,245,2,0,0,N,0,0,2,319,4.300000191,0,0,1,1,1,16,244.436676,0,0
53,1,1,1,154,1,1120,0,5,5,1,2,93,1,NA,NA,NA,NA,1,U,0,7,7,0,3000,2583,4300,3417,1587,205,0,76,1,1,19,2,3,0,26,35,2,360,NA,205,2,0,0,N,0,0,2,147,3.599999905,0,0,1,0,0,16,215.4068451,0,0
54,1,1,1,212,1,1120,0,5,5,1,1,105,0,NA,NA,NA,NA,1,U,0,8,4,0,2697,0,7252,1517,2251,235,0,33,1,1,26,2,1,0,26,37,2,360,NA,235,2,1,0,N,0,0,2,109,2,0,0,1,0,0,12,221.853775,0,0
55,1,1,1,144,1,1120,0,5,5,1,2,56,0,NA,NA,NA,NA,1,M,0,7,2,0,1995,2799,2218,2799,1424,165,0,31,1,1,6,2,1,0,28,34,1,360,NA,170,2,1,0,Y,0,0,2,49,4.300000191,0,0,1,0,0,16,223.2340393,0,0
56,1,1,1,90,1,1120,0,5,5,1,2,42,0,NA,9,NA,NA,1,M,2,10,0.1000000015,0,3357,0,3477,0,1001,187,0,19,2,1,24,2,1,0,28,38,2,360,NA,190,1,0,0,N,0,0,2,18,3.900000095,0,1,1,0,0,16,270.713623,0,0
57,1,1,1,183,1,1120,0,5,5,1,2,23,0,NA,NA,NA,NA,1,M,1,17,2,0,4984,175,4984,175,1608,266,0,161,1,1,28,1,1,0,31,44,1,360,NA,266,2,0,0,N,0,0,2,802,3.099999905,0,0,1,1,0,16,249.0624237,0,0
60,1,1,1,126,1,1120,0,5,5,1,2,182,0,NA,NA,NA,NA,2,M,0,20,5,0,10833,4321,10833,4321,1172,168,0,62,2,1,42,1,2,0,7,21,1,360,NA,168,3,0,0,N,0,0,2,333,3.200000048,0,1,0,1,1,22,999999.375,0,1
64,1,1,1,123,1,1120,1,3,3,1,2,104,3,NA,NA,NA,NA,2,M,0,14,7,0,4594,2000,4594,2000,1388,137,0,40,2,1,28,1,2,0,22,35,1,360,NA,137,2,1,0,N,1,0,2,123,4.300000191,1,0,1,1,1,12,375.8642273,0,0
65,1,1,1,207,1,1120,0,5,5,1,2,93,0,NA,NA,NA,NA,1,M,1,0.3000000119,0.3000000119,0,6250,1516,6250,1516,2174,230,0,22,1,1,26,2,1,0,28,38,1,360,NA,235,2,1,0,Y,0,0,2,36,3.099999905,0,1,1,0,0,18,207.5037231,0,0
66,1,1,1,149,1,1120,0,5,5,1,2,53,0,NA,NA,NA,NA,1,U,0,7,6,0,1829,2250,1829,2597,1538,160,0,14,1,1,28,2,1,0,34,37,1,360,NA,162,2,1,0,N,0,0,1,23,3.099999905,0,0,1,0,0,14,233.2957153,0,0
70,1,1,1,210,1,1120,1,3,3,1,2,36,1,NA,NA,NA,NA,3,M,3,11,11,0,1706,355,1706,1077,788,235,0,23,1,1,9,2,5,0,28,32,2,360,NA,235,3,1,0,N,0,0,1,89,3.200000048,0,0,0,1,1,12,368.5455322,0,1
71,1,1,1,103,1,1120,0,5,5,1,2,43,0,NA,NA,NA,NA,1,M,0,1,1,0,1498,1878,1687,1878,1033,108,0,12,2,1,23,2,1,0,28,37,1,360,NA,110,2,1,0,N,0,0,1,9,3.900000095,0,0,1,0,0,12,216.4179077,0,0
72,1,1,1,54,1,1120,0,5,5,1,2,44,0,NA,NA,NA,NA,1,M,2,30,30,0,2657,383,2657,383,792,78,0,46,1,1,13,1,1,0,10,41,2,360,NA,84,1,0,0,N,0,0,2,527,2,0,1,1,1,1,12,242.9850464,0,0
74,1,1,1,170,3,1120,0,5,5,1,2,59,,9,7,1,NA,1,M,0,9,9,0,3250,0,3250,0,1097,115,0,32,1,1,4,2,1,0,34,35,1,360,NA,115,2,1,1,N,0,0,0,48,3.200000048,0,1,1,1,0,18,197.7293854,0,0
75,1,1,1,216,3,1120,0,5,5,1,2,89,,3,3,NA,NA,1,M,2,16,2,0,3300,3600,3800,3600,2082,300,0,3,1,0,17,4,3,0,30,41,1,360,NA,300,2,0,0,N,0,0,1,88,3.200000048,0,1,1,1,0,16,224.3827972,0,0
77,1,1,1,98,3,1120,0,4,4,1,1,65,,5,5,1,2,1,M,1,17,17,0,2728,407,2728,407,1725,145,0,5,1,1,7,2,1,0,55,56,2,360,VA,145,2,0,0,N,0,0,1,27,2,0,0,0,1,1,12,238.7952576,0,0
81,1,1,1,80,1,1120,0,5,8,2,4,32,9,NA,NA,NA,NA,1,U,1,10,5,0,2033,0,2683,0,755,115,0,29,1,1,7,2,6,1,28,34,2,360,MHFA,118,2,0,0,N,0,0,1,202,3.099999905,0,0,0,0,0,16,236.4963684,0,0
82,1,1,1,135,1,1120,0,5,5,1,2,75,0,NA,NA,NA,NA,1,M,0,6,2,0,2214,4775,2214,4775,1335,151,0,18,1,1,16,2,2,0,19,29,1,360,NA,150,2,1,0,N,0,0,1,40,3.200000048,0,0,1,0,0,16,234.1751862,0,0
83,1,1,1,132,1,1120,0,3,3,1,2,27,9,NA,NA,NA,NA,2,M,0,10,1,0,1222,865,1414,865,592,139,0,11,1,1,1,2,1,0,26,33,2,360,MHFA,145,3,1,0,N,0,0,3,54,10.60000038,0,0,0,1,1,12,209.8516998,0,1
85,1,1,1,136,3,1120,0,5,5,1,2,64,,NA,3,NA,NA,1,M,0,18,18,0,2166,2210,3087,2210,1397,170,0,17,1,0,14,2,6,1,26,27,2,360,NA,170,2,0,0,N,0,0,1,32,3.200000048,0,1,1,1,0,16,220.2846985,0,0
86,1,1,1,111,1,1120,1,3,3,2,1,56,1,NA,NA,NA,NA,1,U,0,11,11,0,2600,1362,2600,1362,1581,128,0,18,2,1,28,2,1,0,27,37,2,360,NA,130,2,1,0,N,0,0,2,21,3.200000048,1,1,1,1,1,14,322.9088135,0,0
87,1,1,1,138,3,1120,0,5,8,1,4,57,,NA,2,7,NA,1,M,3,20,20,1,4000,0,4735,0,1428,186,0,64,1,1,3,2,1,0,30,34,2,360,NA,186,2,1,0,N,0,1,1,416,3.900000095,0,0,1,1,0,12,207.5142212,0,0
88,1,1,1,112,3,1120,0,4,4,1,2,68,,NA,3,NA,NA,1,M,2,10,2,0,2528,1917,3365,1917,1205,118,0,9,1,0,22,3,6,0,23,30,2,360,NA,118,2,1,0,N,0,1,2,291,5.300000191,0,1,1,0,1,11,221.8765717,0,0
89,1,1,1,113,3,1120,1,4,4,1,2,56,,NA,1,NA,NA,1,M,2,7,7,0,2281,0,2281,0,1141,119,0,7,0,1,12,1,1,0,50,62,2,360,NA,120,2,1,0,N,0,0,3,89,4.300000191,0,1,1,0,1,12,372.0232544,0,0
90,1,1,1,99,1,1120,1,5,8,1,4,24,1,NA,NA,NA,NA,3,U,0,2,2,0,1829,0,1829,0,360,110,0,8,1,1,6,2,1,0,20,36,2,360,NA,110,3,1,0,Y,0,0,1,35,1.799999952,1,0,0,0,1,17,314.6259155,0,1
91,1,1,1,107,3,1120,1,4,4,1,2,70,,3,3,7,NA,1,U,0,4,4,0,2243,2233,2243,2233,1127,113,0,4,1,0,29,2,3,0,25,39,2,360,NA,113,2,0,0,N,0,1,2,65,3.900000095,0,0,1,1,0,13,322.249054,0,0
92,1,1,1,88,1,1120,0,4,4,2,1,45,0,NA,NA,NA,NA,1,U,1,2,2,0,1737,1334,2423,1334,907,93,0,3,1,1,20,2,2,0,24,39,2,360,NA,93,2,1,0,Y,0,0,1,82,3.200000048,0,1,1,0,1,12,229.4598999,0,0
95,1,1,1,100,1,1120,0,5,5,1,2,43,3,NA,NA,NA,NA,1,U,1,4,4,0,2038,4027,2038,4027,967,138,0,106,2,1,28,1,2,0,15,36,2,360,NA,148,2,0,0,N,1,0,2,471,3.099999905,0,1,1,0,0,12,220.4946899,0,0
96,1,1,1,112,1,1120,0,5,8,2,4,42,0,NA,NA,NA,NA,1,U,1,14,14,0,3541,0,3541,0,1119,174,0,94,1,1,7,3,5,0,32,34,2,360,NA,174,2,0,0,Y,0,0,2,-41,3.200000048,0,0,0,1,1,19,256.7999878,0,0
97,1,1,1,160,1,1120,0,5,5,1,2,91,3,NA,NA,NA,NA,1,M,0,6,1,0,3333,4288,3333,4288,1565,168,0,14,1,1,24,2,1,0,21,27,2,360,NA,170,2,1,0,N,0,0,1,8,2,0,1,1,0,1,19,238.4564056,0,0
100,1,1,1,115,1,1120,0,5,5,1,1,174,3,NA,NA,NA,NA,1,U,0,4,4,0,3034,11363,3034,11363,1202,145,0,23,1,1,24,1,1,0,8,16,2,360,NA,157,2,0,0,N,0,0,1,77,3.200000048,0,0,1,0,1,16,222.50914,0,0
101,1,1,1,163,1,1120,0,5,5,1,2,37,3,NA,NA,NA,NA,3,M,1,999999.375,999999.375,0,2553,0,2553,0,536,245,0,7,1,1,5,2,1,0,21,29,2,360,NA,275,3,0,0,N,0,0,1,57,3.099999905,0,0,0,1,1,14,209.8516998,0,1
102,1,1,1,180,1,1120,0,3,3,1,1,89,3,NA,NA,NA,NA,3,U,0,1,1,0,3071,4309,3071,4309,1769,198,0,249,3,1,11,2,1,0,24,30,2,360,NA,198,3,1,0,N,1,0,1,74,1.799999952,0,0,0,0,1,16,238.7952576,0,1
103,1,1,1,148,1,1120,0,5,8,1,4,64,1,NA,NA,NA,NA,1,U,0,7,7,0,4982,0,4982,0,1421,162,0,11,1,1,13,2,1,0,28,39,2,360,NA,162,2,1,0,N,0,0,1,65,3.099999905,0,0,1,0,0,12,246.1656799,0,0
104,1,1,1,200,3,1120,1,5,5,1,2,93,,NA,1,3,NA,2,U,0,30,6,0,4000,1642,5333,2400,2047,250,0,28,1,0,25,2,6,1,26,48,2,360,NA,250,3,0,0,N,0,0,1,94,3.900000095,0,0,1,1,1,18,249.8422699,0,1
105,1,1,1,29,1,1120,0,5,5,1,2,61,3,NA,NA,NA,NA,1,M,0,6,2,0,3000,2048,3000,2048,1336,140,0,15,1,1,10,2,5,0,26,36,2,360,NA,140,2,1,0,N,0,0,1,56,3.200000048,0,1,1,0,1,17,263.9198608,0,0
109,1,1,1,114,2,1120,0,5,8,1,4,48,,NA,NA,NA,NA,1,M,1,11,11,0,4009,0,4796,0,1160,119.5,0,9,1,0,10,2,1,1,26.5,31.39999962,2,360,NA,122,2,1,0,N,0,0,1,37,3.200000048,0,1,1,1,1,16,245.958313,0,0
111,1,1,1,131,1,1120,0,5,5,1,2,48,8,NA,NA,NA,NA,1,M,2,11,9,0,2716,0,4038,0,1626,145,0,34,1,1,13,2,1,1,28,34,2,360,NA,145,2,1,0,N,0,0,2,53,3.900000095,0,1,1,0,1,14,184.8615417,0,0
112,1,1,1,111,1,1120,0,5,5,1,2,44,8,NA,NA,NA,NA,1,U,0,15,1,0,1871,1777,1871,1777,1211,119,0,18,2,1,28,2,2,0,28.10000038,33.20000076,2,360,NA,123,2,1,0,N,0,0,2,65,10.60000038,0,0,1,0,0,16,216.4179077,0,0
113,1,1,1,100,1,1120,0,5,8,2,4,38,8,NA,NA,NA,NA,1,U,0,15,15,1,3166,0,3225,0,1131,156,0,69,2,1,11,1,1,0,33,33,2,360,NA,157,2,0,0,N,0,0,3,170,4.300000191,0,0,1,0,1,14,179.4484253,0,0
115,1,1,1,70,1,1120,1,5,8,1,4,33,8,NA,NA,NA,NA,1,U,0,14,14,0,2718,0,2718,0,840,87,0,31,2,1,16,2,1,0,27.20000076,39.90000153,1,360,NA,91,1,0,0,N,0,0,1,38,10.60000038,0,0,1,0,1,14,270.3711243,0,0
116,1,1,1,150,1,1120,1,5,5,1,2,58,8,NA,NA,NA,NA,1,M,0,4,0.6000000238,0,2450,2223,2620,2223,1603,195,0,93,2,1,39,2,1,0,32.20000076,34.20000076,2,360,NA,200,2,0,0,N,0,0,1,73,3.200000048,0,1,1,0,0,20,279.7201233,0,0
117,1,1,1,156,1,1120,0,5,8,2,4,72,8,NA,NA,NA,NA,1,U,0,17,17,0,5083,0,6000,0,1818,195,0,17,1,1,18,1,2,0,27.79999924,37.59999847,1,360,NA,195,1,0,0,N,0,0,1,125,3.200000048,0,1,1,1,0,13,279.5899963,0,0
118,1,1,1,120,1,1120,0,5,5,1,2,59,8,NA,NA,NA,NA,1,M,0,4,4,0,2583,2358,2583,2358,1341,134,0,31,1,1,15,2,1,0,25.10000038,32.09999847,2,360,NA,135,1,1,0,N,0,0,2,69,4.300000191,0,1,1,0,0,12,266.114502,0,0
120,1,1,1,100,1,1120,0,5,5,1,2,59,8,NA,NA,NA,NA,1,M,2,5,5,0,2340,2546,2340,2546,1116,125,25,3,1,1,14,2,1,0,20.79999924,27.89999962,1,360,NA,133,2,0,0,Y,0,0,1,27,5.300000191,0,0,1,0,0,14,216.4179077,0,0
121,1,1,1,135,1,1120,0,5,5,1,2,65,8,NA,NA,NA,NA,1,M,2,12,12,0,3480,1950,3480,1950,1433,150,0,13,3,1,12,2,2,0,24.60000038,31.70000076,1,360,NA,151,2,1,0,N,0,0,1,48,3.200000048,0,0,1,1,1,18,215.1557312,0,0
123,1,1,1,130,1,1120,0,3,5,1,2,66,8,NA,NA,NA,NA,1,M,3,10,10,1,3333,1333,3333,2166,1525,162,0,80,2,1,9,2,1,0,26,28.5,2,360,NA,200,2,0,0,N,0,0,1,103,3.900000095,0,0,1,1,1,12,258.8249207,0,0
124,1,1,1,142,1,1120,0,5,5,1,2,69,8,NA,NA,NA,NA,1,M,0,11.5,11.5,0,2600,2548,3168,2548,1724,150,0,17,1,1,14,2,2,0,24,36.5,2,360,NA,151,2,1,0,N,0,0,3,30,3.099999905,0,0,1,0,1,17,215.1557312,0,0
125,1,1,1,100,1,1120,0,5,5,2,1,36,8,NA,NA,NA,NA,1,M,0,5,1,0,3000,3000,3000,3000,1985,234,0,98,1,1,18,1,4,0,31.39999962,33.70000076,2,360,NA,235,2,0,0,N,0,0,1,251,3.200000048,0,0,1,0,0,16,247.8925018,0,0
126,1,1,1,76,1,1120,0,5,8,2,4,34,8,NA,NA,NA,NA,1,U,0,19,4,0,2851,0,2851,0,966,112,0,58,1,1,9,1,1,0,27,35,1,360,NA,112,1,0,0,N,0,0,2,223,3.200000048,0,1,1,1,0,18,266.114502,0,0
127,1,1,1,115,1,1120,1,5,8,2,4,55,8,NA,NA,NA,NA,1,U,0,6,3,0,4547,0,4547,0,1462,129,0,35,1,1,15,2,2,0,28.89999962,35.20000076,1,360,NA,130,1,1,0,N,0,0,1,47,3.200000048,0,0,0,0,1,20,270.9677429,0,0
128,1,1,1,139,1,1120,0,5,5,2,1,63,8,NA,NA,NA,NA,1,M,0,6,4,0,2929,2333,2929,2333,1556,146,0,27,1,1,23,1,1,0,28,35,2,360,NA,148,2,1,0,N,0,0,1,61,3.200000048,0,1,1,0,0,18,209.7943878,0,0
129,1,1,1,74,1,1120,0,5,5,1,2,38,8,NA,NA,NA,NA,1,M,3,6,5.5,0,2795,0,3173,0,897,78,0,40,1,1,11,2,1,0,25.10000038,34.40000153,2,360,NA,82,2,1,0,N,0,0,1,68,3.099999905,0,0,1,0,0,12,178.5827942,0,0
130,1,1,2,110,1,1120,1,4,4,1,2,457,8,NA,NA,NA,NA,1,M,3,20,20,1,38047,0,38047,0,1384,137,0,61,3,1,24,1,1,0,9,17.10000038,2,360,NA,138,1,0,0,N,0,0,1,2182,3.200000048,0,0,1,1,0,20,271.4428406,1,0
131,1,1,1,110,1,1120,0,5,8,1,4,48,8,NA,NA,NA,NA,1,U,0,15,2.5,0,4041,0,4041,0,1289,149,0,51,1,1,5,2,1,0,28,28,1,360,NA,149,2,0,0,N,0,0,1,81.46800232,3.200000048,0,1,1,0,1,12,218.8941498,0,0
132,1,1,1,176,3,1120,1,5,8,1,4,38,,7,7,NA,NA,3,U,0,6,6,0,3150,0,3150,0,1951,195,0,54,1,0,6,2,1,0,61.90000153,70,2,360,NA,195,3,1,0,N,0,0,3,79,3.900000095,1,1,0,0,1,17,571.5667114,0,1
133,1,1,1,170,1,1120,0,5,5,1,2,98,8,NA,NA,NA,NA,1,M,0,10,10,0,8125,0,8125,0,1931,189,0,23,1,1,35,2,2,0,22.5,37.79999924,2,360,NA,189,2,1,0,N,0,0,2,89,4.300000191,0,1,1,1,1,16,270.0151062,0,0
